study,site_id,country,region,subject_count,site_risk_category,cluster_id,cluster_name,prob_cluster_0,prob_cluster_1,prob_cluster_2
Study_22,Site 2035,USA,AMERICA,25,Low,2,Cluster_2_Average,0.0,0.0,1.0
Study_22,Site 2036,USA,AMERICA,20,Low,0,Cluster_0_Low_Risk,1.0,0.0,4.287372390067869e-19
Study_22,Site 2037,USA,AMERICA,10,Low,2,Cluster_2_Average,0.0,0.0,1.0
Study_22,Site 2038,USA,AMERICA,19,Medium,2,Cluster_2_Average,0.0,0.0,1.0
Study_22,Site 2039,USA,AMERICA,4,Low,0,Cluster_0_Low_Risk,1.0,0.0,1.8762291110292744e-19
Study_22,Site 204,CHN,ASIA,5,Low,0,Cluster_0_Low_Risk,1.0,0.0,2.338284220982613e-19
Study_22,Site 2040,USA,AMERICA,13,Low,0,Cluster_0_Low_Risk,1.0,0.0,4.1898786744376856e-19
Study_22,Site 2041,USA,AMERICA,10,Low,0,Cluster_0_Low_Risk,1.0,0.0,3.8204379270000825e-19
Study_22,Site 2042,USA,AMERICA,113,Low,2,Cluster_2_Average,0.0,0.0,1.0
Study_22,Site 2043,USA,AMERICA,36,Low,2,Cluster_2_Average,0.0,0.0,1.0
Study_22,Site 2044,USA,AMERICA,6,Low,0,Cluster_0_Low_Risk,1.0,0.0,5.6388859426181884e-18
Study_22,Site 2045,USA,AMERICA,7,Low,0,Cluster_0_Low_Risk,1.0,0.0,3.0913889908221326e-19
Study_22,Site 2046,USA,AMERICA,14,High,2,Cluster_2_Average,0.0,0.0,1.0
Study_22,Site 2047,USA,AMERICA,43,Low,0,Cluster_0_Low_Risk,1.0,0.0,3.0207732603310967e-19
Study_22,Site 2048,USA,AMERICA,15,Low,0,Cluster_0_Low_Risk,1.0,0.0,4.757942995929227e-18
Study_22,Site 2049,USA,AMERICA,13,Low,2,Cluster_2_Average,2.3427807689818405e-161,0.0,1.0
Study_22,Site 205,CHN,ASIA,5,Low,0,Cluster_0_Low_Risk,1.0,0.0,2.338284220982613e-19
Study_22,Site 2050,USA,AMERICA,2,Low,0,Cluster_0_Low_Risk,1.0,0.0,8.469757767512745e-20
Study_22,Site 2051,USA,AMERICA,25,Low,2,Cluster_2_Average,0.0,0.0,1.0
Study_22,Site 2052,USA,AMERICA,56,Low,2,Cluster_2_Average,0.0,0.0,1.0
Study_22,Site 2053,USA,AMERICA,20,Low,0,Cluster_0_Low_Risk,0.9999986108357549,0.0,1.3891642448678137e-06
Study_22,Site 2054,USA,AMERICA,2,Low,0,Cluster_0_Low_Risk,1.0,0.0,8.469757767512745e-20
Study_22,Site 2055,USA,AMERICA,10,Low,0,Cluster_0_Low_Risk,1.0,0.0,3.8204379270000825e-19
Study_22,Site 2056,USA,AMERICA,23,Low,0,Cluster_0_Low_Risk,1.0,0.0,3.54407809125997e-18
Study_22,Site 2057,USA,AMERICA,6,Low,2,Cluster_2_Average,0.0,0.0,1.0
Study_22,Site 2058,USA,AMERICA,2,Low,0,Cluster_0_Low_Risk,1.0,0.0,8.469757767512745e-20
Study_22,Site 2059,USA,AMERICA,31,Low,2,Cluster_2_Average,4.7410481212815834e-18,0.0,1.0
Study_22,Site 206,CHN,ASIA,31,Low,2,Cluster_2_Average,0.0,0.0,1.0
Study_22,Site 2060,USA,AMERICA,17,Low,2,Cluster_2_Average,0.0,0.0,1.0
Study_22,Site 2061,USA,AMERICA,37,Low,0,Cluster_0_Low_Risk,1.0,0.0,7.3594543078614e-16
Study_22,Site 2062,USA,AMERICA,19,Low,2,Cluster_2_Average,0.0,0.0,1.0
Study_22,Site 2063,USA,AMERICA,19,Low,2,Cluster_2_Average,0.0,0.0,1.0
Study_22,Site 2064,USA,AMERICA,8,Low,0,Cluster_0_Low_Risk,1.0,0.0,3.383305429752128e-19
Study_22,Site 2065,USA,AMERICA,53,Low,0,Cluster_0_Low_Risk,1.0,0.0,2.378395118850195e-19
Study_22,Site 2066,USA,AMERICA,68,Low,2,Cluster_2_Average,0.0,0.0,1.0
Study_22,Site 2067,USA,AMERICA,4,Low,0,Cluster_0_Low_Risk,1.0,0.0,1.8762291110292744e-19
Study_22,Site 2068,USA,AMERICA,4,Low,0,Cluster_0_Low_Risk,1.0,0.0,1.8762291110292744e-19
Study_22,Site 2069,USA,AMERICA,4,Low,0,Cluster_0_Low_Risk,1.0,0.0,1.8762291110292744e-19
Study_22,Site 207,CHN,ASIA,4,Low,0,Cluster_0_Low_Risk,1.0,0.0,1.8762291110292744e-19
Study_22,Site 2070,USA,AMERICA,2,Low,0,Cluster_0_Low_Risk,1.0,0.0,8.469757767512745e-20
Study_22,Site 2071,USA,AMERICA,3,Low,0,Cluster_0_Low_Risk,1.0,0.0,1.3691631706922861e-19
Study_22,Site 2072,USA,AMERICA,34,Low,2,Cluster_2_Average,0.0,0.0,1.0
Study_22,Site 2073,USA,AMERICA,5,Low,0,Cluster_0_Low_Risk,1.0,0.0,2.338284220982613e-19
Study_22,Site 2074,USA,AMERICA,23,Low,0,Cluster_0_Low_Risk,0.9999999999999964,0.0,5.021827919282879e-15
Study_22,Site 2075,USA,AMERICA,80,Low,2,Cluster_2_Average,0.0,0.0,1.0
Study_22,Site 2076,USA,AMERICA,11,Medium,2,Cluster_2_Average,0.0,0.0,1.0
Study_22,Site 2077,USA,AMERICA,5,Low,0,Cluster_0_Low_Risk,1.0,0.0,2.338284220982613e-19
Study_22,Site 2078,USA,AMERICA,28,Low,0,Cluster_0_Low_Risk,1.0,0.0,3.8785859243436694e-19
Study_22,Site 2079,USA,AMERICA,4,Medium,2,Cluster_2_Average,0.0,0.0,1.0
Study_22,Site 208,CHN,ASIA,3,Low,0,Cluster_0_Low_Risk,1.0,0.0,1.3691631706922861e-19
Study_22,Site 2080,USA,AMERICA,30,Low,2,Cluster_2_Average,0.0,0.0,1.0
Study_22,Site 2081,USA,AMERICA,22,Low,0,Cluster_0_Low_Risk,1.0,0.0,3.889917756923276e-16
Study_22,Site 2082,USA,AMERICA,45,Low,2,Cluster_2_Average,0.0,0.0,1.0
Study_22,Site 2083,USA,AMERICA,1,Low,0,Cluster_0_Low_Risk,1.0,0.0,3.7354866714353175e-20
Study_22,Site 2084,USA,AMERICA,5,Low,0,Cluster_0_Low_Risk,1.0,0.0,2.338284220982613e-19
Study_22,Site 2085,USA,AMERICA,13,Medium,2,Cluster_2_Average,0.0,0.0,1.0
Study_22,Site 2086,USA,AMERICA,12,Low,2,Cluster_2_Average,0.0,0.0,1.0
Study_22,Site 2087,USA,AMERICA,20,Low,2,Cluster_2_Average,1.2914695751902878e-141,0.0,1.0
Study_22,Site 2088,USA,AMERICA,74,Low,2,Cluster_2_Average,0.0,0.0,1.0
Study_22,Site 2089,USA,AMERICA,10,Low,0,Cluster_0_Low_Risk,1.0,0.0,5.213438002112013e-19
Study_22,Site 209,CHN,ASIA,37,Low,0,Cluster_0_Low_Risk,1.0,0.0,6.542965068668584e-16
Study_22,Site 2090,USA,AMERICA,9,Low,0,Cluster_0_Low_Risk,1.0,0.0,3.624495505851688e-19
Study_22,Site 2091,USA,AMERICA,15,Low,2,Cluster_2_Average,0.0,0.0,1.0
Study_22,Site 2092,USA,AMERICA,4,Low,0,Cluster_0_Low_Risk,1.0,0.0,1.8762291110292744e-19
Study_22,Site 2093,USA,AMERICA,6,Low,0,Cluster_0_Low_Risk,1.0,0.0,2.743962688818995e-19
Study_22,Site 2094,USA,AMERICA,67,Low,2,Cluster_2_Average,0.0,0.0,1.0
Study_22,Site 2095,USA,AMERICA,30,Low,2,Cluster_2_Average,0.0,0.0,1.0
Study_22,Site 2096,USA,AMERICA,8,Low,0,Cluster_0_Low_Risk,1.0,0.0,5.31034148868024e-18
Study_22,Site 2097,USA,AMERICA,29,Medium,2,Cluster_2_Average,0.0,0.0,1.0
Study_22,Site 2098,USA,AMERICA,2,Low,0,Cluster_0_Low_Risk,1.0,0.0,8.469757767512745e-20
Study_22,Site 2099,USA,AMERICA,7,Low,0,Cluster_0_Low_Risk,1.0,0.0,3.0913889908221326e-19
Study_22,Site 210,CHN,ASIA,13,Low,0,Cluster_0_Low_Risk,1.0,0.0,4.1898786744376856e-19
Study_22,Site 2100,USA,AMERICA,11,Low,0,Cluster_0_Low_Risk,0.9999793563435512,0.0,2.06436564485919e-05
Study_22,Site 2101,USA,AMERICA,11,Low,0,Cluster_0_Low_Risk,1.0,0.0,3.97661950477947e-19
Study_22,Site 2102,USA,AMERICA,1,Low,0,Cluster_0_Low_Risk,1.0,0.0,3.7354866714353175e-20
Study_22,Site 2103,USA,AMERICA,9,Low,0,Cluster_0_Low_Risk,0.9188719567011472,0.0,0.08112804329885306
Study_22,Site 2104,USA,AMERICA,3,Low,0,Cluster_0_Low_Risk,1.0,0.0,1.496477148637524e-16
Study_22,Site 2105,USA,AMERICA,2,Low,0,Cluster_0_Low_Risk,1.0,0.0,8.701748803978887e-18
Study_22,Site 2106,USA,AMERICA,29,Low,2,Cluster_2_Average,0.0,0.0,1.0
Study_22,Site 2107,USA,AMERICA,3,Low,0,Cluster_0_Low_Risk,1.0,0.0,1.3691631706922861e-19
Study_22,Site 2108,USA,AMERICA,8,Medium,2,Cluster_2_Average,0.0,0.0,1.0
Study_22,Site 2109,USA,AMERICA,3,Low,0,Cluster_0_Low_Risk,1.0,0.0,1.3691631706922861e-19
Study_22,Site 211,CHN,ASIA,8,Low,0,Cluster_0_Low_Risk,1.0,0.0,3.383305429752128e-19
Study_22,Site 2110,USA,AMERICA,5,Low,0,Cluster_0_Low_Risk,1.0,0.0,4.74355727838225e-18
Study_22,Site 2111,USA,AMERICA,7,Low,0,Cluster_0_Low_Risk,1.0,0.0,3.0913889908221326e-19
